id,genre,danceability,energy,loudness,speechiness,acousticness,instrumentalness,valence,tempo
3feuFFxmZ449KKG70w52JR,punk,0.181,0.953,-7.37,0.144,0.000114,0.000412,0.161,101.818
4VXnbg8b2mLlgha4imX0UI,punk,0.197,0.905,-7.566,0.0967,0.000297,5.62e-05,0.245,175.396
0JZmfHuwwLJujURwem2H3N,punk,0.386,0.98,-7.636,0.177,1.4e-05,0.0969,0.0661,110.47
1Tz5RJhvwt0dubHdBENQHh,punk,0.249,0.262,-16.039,0.0404,0.854,0.973,0.0375,65.238
20TpBrUb8BOvmtAmsmjeSr,punk,0.26,0.55,-11.002,0.0791,0.733,1.22e-06,0.348,115.185
36MXYNEKwnDT6CpUzyU4LN,punk,0.233,0.948,-8.202,0.163,0.00101,0.000163,0.191,109.539
5j5RJM7dsvtT3R8EkPKowq,punk,0.116,0.946,-8.009,0.216,0.000365,0.0209,0.101,156.943
3dNED47vGTiYHFVMXfextK,punk,0.294,0.983,-7.805,0.14,0.000379,7.81e-05,0.352,117.259
6GaxSIaDrOJD35NUki8Wbx,punk,0.389,0.93,-11.712,0.464,0.8,0.0,0.298,122.528
2Rsy4QeVyaYGWaXaZBtPpp,punk,0.229,0.867,-7.578,0.0883,0.00064,2.5e-06,0.257,180.093
7fVQ8nbGTyJeofhbn7RF8k,punk,0.346,0.976,-7.329,0.121,2e-05,0.0229,0.086,125.381
0Kt9sF46S7DFKrQOsXqidV,punk,0.737,0.399,-10.147,0.135,0.97,0.0,0.82,123.979
6s2yqZbiPNPL1B2IeCMsUA,punk,0.292,0.548,-4.977,0.0363,0.0827,0.0,0.207,175.053
0uukw2CgEIApv4IWAjXrBC,punk,0.481,0.973,-1.945,0.0542,0.0037,0.000877,0.362,99.331
0rUNZQuYQvOz6A6zwyT6tM,punk,0.242,0.983,-2.679,0.106,5.08e-05,4.43e-05,0.301,163.366
2kMjk14RmYyYhhSbipoa9U,punk,0.513,0.937,-3.427,0.0532,0.000111,0.000102,0.543,155.015
5wQnmLuC1W7ATsArWACrgW,punk,0.217,0.905,-4.103,0.0752,0.000289,0.00011,0.236,96.95
4RAOI1etsgbh5NP3T5R8rN,punk,0.289,0.796,-4.22,0.0494,0.00837,2.61e-05,0.33,169.835
7j2Bmzpnf6RwEWEQ2sv8Ho,punk,0.445,0.977,-2.674,0.0995,0.000347,0.0235,0.239,105.825
0GgN4MhR5GKn5IcKN0e0rG,punk,0.457,0.515,-4.31,0.0261,0.358,0.0,0.222,74.984
0Zh3tKIphLOvQux4dA6PFZ,punk,0.236,0.799,-5.167,0.0939,0.0136,0.0,0.303,208.951
2pONuBYwWrNm9jcJH6hmPc,punk,0.188,0.952,-4.499,0.201,0.00138,0.000856,0.152,155.973
7j31rVgGX9Q2blT92VBEA0,punk,0.463,0.857,-3.063,0.0632,0.0506,0.0,0.856,111.647
6T7MAQCekVb3UnCykjX3BP,punk,0.343,0.692,-3.926,0.0355,0.00218,0.0,0.153,174.07
2d6m2F4I7wCuAKtSsdhh83,punk,0.467,0.883,-3.679,0.106,0.000321,0.000152,0.309,122.252
1rNSLiEFpAF4amVhkzfTUG,punk,0.739,0.405,-10.524,0.107,0.972,0.0,0.827,123.497
4CTn4J0yO9aBBPubzWiny7,punk,0.292,0.548,-4.977,0.0363,0.0827,0.0,0.207,175.053
4GtQnksfHyX2gyqSeacZiK,punk,0.288,0.97,-2.085,0.0947,0.00393,0.00139,0.383,198.973
6W7A4MWRtiBKDYVACLc5jD,punk,0.242,0.983,-2.679,0.106,5.08e-05,4.43e-05,0.301,163.366
6zmlqXdguv5xtEDLy3Zb9Z,punk,0.513,0.937,-3.427,0.0532,0.000111,0.000102,0.543,155.015
6XY27rOwmDl0gqBtYjrK8a,punk,0.217,0.905,-4.103,0.0752,0.000289,0.00011,0.236,96.95
3cUzD9LMyh00LvgeLBLiGv,punk,0.289,0.796,-4.22,0.0494,0.00837,2.61e-05,0.33,169.835
5LWveGGqGiM98TRt0MtluR,punk,0.441,0.974,-2.759,0.0973,0.000319,0.0192,0.223,105.887
1aEL9mOs7gpouuYcQHK48W,punk,0.457,0.515,-4.31,0.0261,0.358,0.0,0.222,74.984
4NJUgF2OZrG4C31Tc34yBu,punk,0.235,0.804,-5.277,0.0909,0.0106,1.36e-06,0.304,208.737
